,batch,epoch_num,epochs,initialization,layers,lr,optimizer,time_s,train_acc,train_f1,train_loss,val_acc,val_f1,val_loss,total_time_s
0,100.0,25.0,25.0,random_normal,3.0,0.001,Adam,34.2,0.27219998836517334,0.18299999833106995,2.2432000637054443,0.2368,0.1691,2.338200092315674,853.1600000000001
1,100.0,22.0,25.0,random_uniform,3.0,0.001,Adam,34.04,0.265500009059906,0.17059999704360962,2.25600004196167,0.2257,0.1657,2.3568999767303467,856.3499999999999
2,100.0,24.0,25.0,random_uniform,2.0,0.001,Adam,2.79,0.219200000166893,0.10419999808073044,2.391900062561035,0.2102,0.1102,2.420099973678589,69.23
3,100.0,23.0,25.0,random_normal,2.0,0.001,Adam,2.61,0.21220000088214874,0.09709999710321426,2.4059998989105225,0.2024,0.1008,2.4314000606536865,64.97999999999999
